Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-21,CLERMONT-FERRAND,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,HENDAYE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-06,LILLE FLANDRES,oui,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,LYON PART-DIEU,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,ASPRES SUR PUECH,oui,Accident de voyageur,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,NÎMES,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,JUVISY,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,Entre BERNAY et LISIEUX,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,JESSAINS,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,entre FONTPEDROUSE et MONT-LOUIS,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-05,INFRAPOLE AUVERGNE NIVERNAIS,non,Déshuntage,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,MAROEUIL,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,TECHNICENTRE DE VILLENEUVE ST-GEORGES,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-20,LILLE FLANDRES,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-23,PERSAN BEAUMONT,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-19,CREST,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-29,PANTIN,non,Avarie matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,MOUZON,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,INFRAPOLE CHAMPAGNE ARDENNES,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-08,GARE D'ONVILLE,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-21,MARMANDE,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-27,PARIS,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-04,GOUSSAINVILLE,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-10,PARIS BERCY,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-28,CHANTILLY,oui,Heurt au croisement,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-21,CHANTILLY,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16,PARIS SAINT LAZARE,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16,LA CLUSE,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-14,Saint Denis Près Martel,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-18,Génolhac,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15,HAUSBERGEN,oui,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-11,LE BOURGET,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,EPINAY SUR SEINE,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-23,TERGNIER,oui,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-09,CHAMBERY,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
